Model,Train_R2,Train_MAE,Train_RMSE,Val_R2,Val_MAE,Val_RMSE,Test_R2,Test_MAE,Test_RMSE
XGBoost,0.9957195178419649,2.036650060174356,2.760262301671699,0.8600199985962311,11.436746960157107,15.805913075532512,0.8625695578340158,11.220702769916333,15.588144865502397
GradientBoosting,0.9773646122200279,4.856400277465871,6.347430846041645,0.8526354038834176,11.78506010113662,16.217472550703683,0.8585274345661762,11.38019973431019,15.815723937301334
RandomForest,0.96528153644702,5.493254705896225,7.861116948141411,0.8367653675645121,12.423151504819703,17.06839737532841,0.8437873224467956,12.142737441177415,16.619237701977593
Ridge,0.7225722390913742,16.743912055391718,22.22178630349812,0.7086460801182389,17.154270319086258,22.803264522283676,0.71341294554988,16.935541917340842,22.510298066443877
Baseline,0.639985995649937,19.298774623138815,25.314170794539077,0.6255403427784858,19.676038609816445,25.85170016123845,0.6281505816393425,19.43642326946315,25.6410918587782
